#msc E E^2 |M| M^2 accepted
10 -8 64 4 16 0
20 -8 64 4 16 0
30 -8 64 4 16 0
40 -8 64 4 16 0
50 -8 64 4 16 0
60 -8 64 4 16 0
70 -8 64 4 16 0
80 -8 64 4 16 0
90 -8 64 4 16 0
100 -8 64 4 16 0
110 -8 64 4 16 0
120 -8 64 4 16 0
130 -8 64 4 16 0
140 -8 64 4 16 0
150 -8 64 4 16 0
160 -8 64 4 16 0
170 -8 64 4 16 0
180 -8 64 4 16 0
190 -8 64 4 16 0
200 -8 64 4 16 0
210 -8 64 4 16 0
220 -8 64 4 16 0
230 -8 64 4 16 0
240 -8 64 4 16 0
250 -8 64 4 16 0
260 -8 64 4 16 0
270 -8 64 4 16 0
280 -8 64 4 16 0
290 -8 64 4 16 0
300 -8 64 4 16 0
310 -8 64 4 16 0
320 -8 64 4 16 0
330 -8 64 4 16 0
340 -8 64 4 16 0
350 -8 64 4 16 0
360 -8 64 4 16 0
370 -8 64 4 16 0
380 -8 64 4 16 0
390 -8 64 4 16 0
400 -8 64 4 16 0
410 -8 64 4 16 0
420 -8 64 4 16 0
430 -8 64 4 16 0
440 -8 64 4 16 0
450 -8 64 4 16 0
460 -8 64 4 16 0
470 -8 64 4 16 0
480 -8 64 4 16 0
490 -8 64 4 16 0
500 -7.968 63.744 3.988 15.944 0
510 -7.96863 63.749 3.98824 15.9451 0
520 -7.96923 63.7538 3.98846 15.9462 0
530 -7.96981 63.7585 3.98868 15.9472 0
540 -7.97037 63.763 3.98889 15.9481 0
550 -7.97091 63.7673 3.98909 15.9491 0
560 -7.97143 63.7714 3.98929 15.95 0
570 -7.97193 63.7754 3.98947 15.9509 0
580 -7.97241 63.7793 3.98966 15.9517 0
590 -7.97288 63.7831 3.98983 15.9525 0
600 -7.97333 63.7867 3.99 15.9533 0
610 -7.97377 63.7902 3.99016 15.9541 0
620 -7.97419 63.7935 3.99032 15.9548 0
630 -7.9746 63.7968 3.99048 15.9556 0
640 -7.975 63.8 3.99063 15.9563 0
650 -7.97538 63.8031 3.99077 15.9569 0
660 -7.97576 63.8061 3.99091 15.9576 0
670 -7.97612 63.809 3.99104 15.9582 0
680 -7.97647 63.8118 3.99118 15.9588 0
690 -7.97681 63.8145 3.9913 15.9594 0
700 -7.97714 63.8171 3.99143 15.96 0
710 -7.97746 63.8197 3.99155 15.9606 0
720 -7.97778 63.8222 3.99167 15.9611 0
730 -7.97808 63.8247 3.99178 15.9616 0
740 -7.97838 63.827 3.99189 15.9622 0
750 -7.97867 63.8293 3.992 15.9627 0
760 -7.97895 63.8316 3.99211 15.9632 0
770 -7.97922 63.8338 3.99221 15.9636 0
780 -7.97949 63.8359 3.99231 15.9641 0
790 -7.97975 63.838 3.99241 15.9646 0
800 -7.98 63.84 3.9925 15.965 0
810 -7.98025 63.842 3.99259 15.9654 0
820 -7.98049 63.8439 3.99268 15.9659 0
830 -7.98072 63.8458 3.99277 15.9663 0
840 -7.98095 63.8476 3.99286 15.9667 0
850 -7.98118 63.8494 3.99294 15.9671 0
860 -7.9814 63.8512 3.99302 15.9674 0
870 -7.98161 63.8529 3.9931 15.9678 0
880 -7.98182 63.8545 3.99318 15.9682 0
890 -7.98202 63.8562 3.99326 15.9685 0
900 -7.98222 63.8578 3.99333 15.9689 0
910 -7.98242 63.8593 3.99341 15.9692 0
920 -7.98261 63.8609 3.99348 15.9696 0
930 -7.9828 63.8624 3.99355 15.9699 0
940 -7.98298 63.8638 3.99362 15.9702 0
950 -7.98316 63.8653 3.99368 15.9705 0
960 -7.98333 63.8667 3.99375 15.9708 0
970 -7.98351 63.868 3.99381 15.9711 0
980 -7.98367 63.8694 3.99388 15.9714 0
990 -7.98384 63.8707 3.99394 15.9717 0
1000 -7.984 63.872 3.994 15.972 0
1010 -7.98416 63.8733 3.99406 15.9723 0
1020 -7.98431 63.8745 3.99412 15.9725 0
1030 -7.98447 63.8757 3.99417 15.9728 0
1040 -7.98462 63.8769 3.99423 15.9731 0
1050 -7.98476 63.8781 3.99429 15.9733 0
1060 -7.98491 63.8792 3.99434 15.9736 0
1070 -7.98505 63.8804 3.99439 15.9738 0
1080 -7.98519 63.8815 3.99444 15.9741 0
1090 -7.98532 63.8826 3.9945 15.9743 0
1100 -7.98545 63.8836 3.99455 15.9745 0
1110 -7.98559 63.8847 3.99459 15.9748 0
1120 -7.98571 63.8857 3.99464 15.975 0
1130 -7.98584 63.8867 3.99469 15.9752 0
1140 -7.98596 63.8877 3.99474 15.9754 0
1150 -7.98609 63.8887 3.99478 15.9757 0
1160 -7.98621 63.8897 3.99483 15.9759 0
1170 -7.98632 63.8906 3.99487 15.9761 0
1180 -7.98644 63.8915 3.99492 15.9763 0
1190 -7.98655 63.8924 3.99496 15.9765 0
1200 -7.98667 63.8933 3.995 15.9767 0
1210 -7.98678 63.8942 3.99504 15.9769 0
1220 -7.98689 63.8951 3.99508 15.977 0
1230 -7.98699 63.8959 3.99512 15.9772 0
1240 -7.9871 63.8968 3.99516 15.9774 0
1250 -7.9872 63.8976 3.9952 15.9776 0
1260 -7.9873 63.8984 3.99524 15.9778 0
1270 -7.9874 63.8992 3.99528 15.978 0
1280 -7.9875 63.9 3.99531 15.9781 0
1290 -7.9876 63.9008 3.99535 15.9783 0
1300 -7.98769 63.9015 3.99538 15.9785 0
1310 -7.98779 63.9023 3.99542 15.9786 0
1320 -7.98788 63.903 3.99545 15.9788 0
1330 -7.98797 63.9038 3.99549 15.9789 0
1340 -7.98806 63.9045 3.99552 15.9791 0
1350 -7.98815 63.9052 3.99556 15.9793 0
