#msc E E^2 |M| M^2 accepted
100 -8 64 4 16 0
200 -8 64 4 16 0
300 -8 64 4 16 0
400 -7.98 63.84 3.995 15.97 0
500 -7.984 63.872 3.996 15.976 0
600 -7.98667 63.8933 3.99667 15.98 0
700 -7.98857 63.9086 3.99714 15.9829 0
800 -7.99 63.92 3.9975 15.985 0
900 -7.99111 63.9289 3.99778 15.9867 0
1000 -7.992 63.936 3.998 15.988 0
1100 -7.99273 63.9418 3.99818 15.9891 0
1200 -7.99333 63.9467 3.99833 15.99 0
1300 -7.99385 63.9508 3.99846 15.9908 0
1400 -7.99429 63.9543 3.99857 15.9914 0
1500 -7.99467 63.9573 3.99867 15.992 0
1600 -7.995 63.96 3.99875 15.9925 0
1700 -7.99529 63.9624 3.99882 15.9929 0
1800 -7.99556 63.9644 3.99889 15.9933 0
1900 -7.99579 63.9663 3.99895 15.9937 0
2000 -7.996 63.968 3.999 15.994 0
2100 -7.99619 63.9695 3.99905 15.9943 0
2200 -7.99636 63.9709 3.99909 15.9945 0
2300 -7.99652 63.9722 3.99913 15.9948 0
2400 -7.99667 63.9733 3.99917 15.995 0
2500 -7.9968 63.9744 3.9992 15.9952 0
2600 -7.99692 63.9754 3.99923 15.9954 0
2700 -7.99407 63.9526 3.99852 15.9911 0
2800 -7.99429 63.9543 3.99857 15.9914 0
2900 -7.99448 63.9559 3.99862 15.9917 0
3000 -7.99467 63.9573 3.99867 15.992 0
3100 -7.99484 63.9587 3.99871 15.9923 0
3200 -7.995 63.96 3.99875 15.9925 0
3300 -7.98788 63.903 3.99697 15.9818 0
3400 -7.98824 63.9059 3.99706 15.9824 0
3500 -7.98857 63.9086 3.99714 15.9829 0
3600 -7.98889 63.9111 3.99722 15.9833 0
3700 -7.98919 63.9135 3.9973 15.9838 0
3800 -7.98947 63.9158 3.99737 15.9842 0
3900 -7.98974 63.9179 3.99744 15.9846 0
4000 -7.99 63.92 3.9975 15.985 0
4100 -7.99024 63.922 3.99756 15.9854 0
4200 -7.99048 63.9238 3.99762 15.9857 0
4300 -7.9907 63.9256 3.99767 15.986 0
4400 -7.99091 63.9273 3.99773 15.9864 0
4500 -7.99111 63.9289 3.99778 15.9867 0
4600 -7.9913 63.9304 3.99783 15.987 0
4700 -7.99149 63.9319 3.99787 15.9872 0
4800 -7.99167 63.9333 3.99792 15.9875 0
4900 -7.99184 63.9347 3.99796 15.9878 0
5000 -7.992 63.936 3.998 15.988 0
5100 -7.99216 63.9373 3.99804 15.9882 0
5200 -7.99231 63.9385 3.99808 15.9885 0
