#msc E E^2 |M| M^2 accepted
5300 -7.99094 63.9275 3.99774 15.9864 0
5400 -7.99111 63.9289 3.99778 15.9867 0
5500 -7.99127 63.9302 3.99782 15.9869 0
5600 -7.99143 63.9314 3.99786 15.9871 0
5700 -7.99158 63.9326 3.99789 15.9874 0
5800 -7.99172 63.9338 3.99793 15.9876 0
5900 -7.99186 63.9349 3.99797 15.9878 0
6000 -7.992 63.936 3.998 15.988 0
6100 -7.99213 63.937 3.99803 15.9882 0
6200 -7.99226 63.9381 3.99806 15.9884 0
6300 -7.99238 63.939 3.9981 15.9886 0
6400 -7.9925 63.94 3.99812 15.9887 0
6500 -7.99262 63.9409 3.99815 15.9889 0
6600 -7.99273 63.9418 3.99818 15.9891 0
6700 -7.99284 63.9427 3.99821 15.9893 0
6800 -7.99294 63.9435 3.99824 15.9894 0
6900 -7.99304 63.9443 3.99826 15.9896 0
7000 -7.992 63.936 3.998 15.988 0
7100 -7.98535 63.8828 3.99493 15.9752 0
7200 -7.98556 63.8844 3.995 15.9756 0
7300 -7.98575 63.886 3.99507 15.9759 0
7400 -7.98595 63.8876 3.99514 15.9762 0
7500 -7.98613 63.8891 3.9952 15.9765 0
7600 -7.98632 63.8905 3.99526 15.9768 0
7700 -7.98649 63.8919 3.99532 15.9771 0
7800 -7.98667 63.8933 3.99538 15.9774 0
7900 -7.98684 63.8947 3.99544 15.9777 0
8000 -7.987 63.896 3.9955 15.978 0
8100 -7.98716 63.8973 3.99556 15.9783 0
8200 -7.98732 63.8985 3.99561 15.9785 0
8300 -7.98747 63.8998 3.99566 15.9788 0
8400 -7.98762 63.901 3.99571 15.979 0
8500 -7.98776 63.9021 3.99576 15.9793 0
8600 -7.98791 63.9033 3.99581 15.9795 0
8700 -7.98805 63.9044 3.99586 15.9798 0
8800 -7.98818 63.9055 3.99591 15.98 0
8900 -7.98831 63.9065 3.99596 15.9802 0
9000 -7.98844 63.9076 3.996 15.9804 0
9100 -7.98857 63.9086 3.99604 15.9807 0
9200 -7.9887 63.9096 3.99609 15.9809 0
9300 -7.98882 63.9105 3.99613 15.9811 0
9400 -7.98894 63.9115 3.99617 15.9813 0
9500 -7.98905 63.9124 3.99621 15.9815 0
9600 -7.98917 63.9133 3.99625 15.9817 0
9700 -7.98928 63.9142 3.99629 15.9819 0
9800 -7.98939 63.9151 3.99633 15.982 0
9900 -7.98949 63.916 3.99636 15.9822 0
10000 -7.9896 63.9168 3.9964 15.9824 0
10100 -7.9897 63.9176 3.99644 15.9826 0
10200 -7.9898 63.9184 3.99647 15.9827 0
10300 -7.9899 63.9192 3.9965 15.9829 0
10400 -7.99 63.92 3.99654 15.9831 0
10500 -7.9901 63.9208 3.99657 15.9832 0
10600 -7.99019 63.9215 3.9966 15.9834 0
10700 -7.99028 63.9222 3.99664 15.9836 0
10800 -7.99037 63.923 3.99667 15.9837 0
10900 -7.99046 63.9237 3.9967 15.9839 0
11000 -7.99055 63.9244 3.99673 15.984 0
11100 -7.99063 63.925 3.99676 15.9841 0
11200 -7.99071 63.9257 3.99679 15.9843 0
11300 -7.9908 63.9264 3.99681 15.9844 0
11400 -7.98737 63.8989 3.99526 15.9779 0
11500 -7.98748 63.8998 3.9953 15.9781 0
11600 -7.9869 63.8952 3.99517 15.9772 0
11700 -7.98701 63.8961 3.99521 15.9774 0
11800 -7.98712 63.8969 3.99525 15.9776 0
11900 -7.98723 63.8978 3.99529 15.9778 0
12000 -7.98733 63.8987 3.99533 15.978 0
12100 -7.98744 63.8995 3.99537 15.9782 0
12200 -7.98754 63.9003 3.99541 15.9784 0
12300 -7.98764 63.9011 3.99545 15.9785 0
12400 -7.98774 63.9019 3.99548 15.9787 0
12500 -7.98784 63.9027 3.99552 15.9789 0
12600 -7.98794 63.9035 3.99556 15.979 0
12700 -7.98803 63.9043 3.99559 15.9792 0
12800 -7.98813 63.905 3.99562 15.9794 0
12900 -7.98822 63.9057 3.99566 15.9795 0
13000 -7.98831 63.9065 3.99569 15.9797 0
13100 -7.9884 63.9072 3.99573 15.9798 0
13200 -7.98848 63.9079 3.99576 15.98 0
13300 -7.98857 63.9086 3.99579 15.9802 0
13400 -7.98866 63.9093 3.99582 15.9803 0
13500 -7.98874 63.9099 3.99585 15.9804 0
13600 -7.98882 63.9106 3.99588 15.9806 0
13700 -7.98891 63.9112 3.99591 15.9807 0
13800 -7.98899 63.9119 3.99594 15.9809 0
13900 -7.98791 63.9033 3.9954 15.9787 0
14000 -7.988 63.904 3.99543 15.9789 0
14100 -7.98809 63.9047 3.99546 15.979 0
14200 -7.98817 63.9054 3.99549 15.9792 0
14300 -7.98825 63.906 3.99552 15.9793 0
14400 -7.98833 63.9067 3.99556 15.9794 0
14500 -7.98841 63.9073 3.99559 15.9796 0
14600 -7.98849 63.9079 3.99562 15.9797 0
14700 -7.98857 63.9086 3.99565 15.9799 0
14800 -7.98865 63.9092 3.99568 15.98 0
14900 -7.98872 63.9098 3.9957 15.9801 0
15000 -7.9888 63.9104 3.99573 15.9803 0
15100 -7.98834 63.9068 3.99563 15.9796 0
15200 -7.98842 63.9074 3.99566 15.9797 0
15300 -7.9885 63.908 3.99569 15.9799 0
15400 -7.98857 63.9086 3.99571 15.98 0
15500 -7.98865 63.9092 3.99574 15.9801 0
15600 -7.98872 63.9097 3.99577 15.9803 0
15700 -7.98879 63.9103 3.9958 15.9804 0
15800 -7.98835 63.9068 3.9957 15.9797 0
15900 -7.98843 63.9074 3.99572 15.9799 0
16000 -7.9885 63.908 3.99575 15.98 0
16100 -7.98857 63.9086 3.99578 15.9801 0
16200 -7.98864 63.9091 3.9958 15.9802 0
16300 -7.98871 63.9097 3.99583 15.9804 0
16400 -7.98878 63.9102 3.99585 15.9805 0
16500 -7.98885 63.9108 3.99588 15.9806 0
16600 -7.98892 63.9113 3.9959 15.9807 0
16700 -7.98898 63.9119 3.99593 15.9808 0
16800 -7.98905 63.9124 3.99595 15.981 0
16900 -7.98911 63.9129 3.99598 15.9811 0
17000 -7.98918 63.9134 3.996 15.9812 0
17100 -7.98737 63.8989 3.99532 15.978 0
17200 -7.98744 63.8995 3.99535 15.9781 0
17300 -7.98613 63.889 3.9948 15.9757 0
17400 -7.98621 63.8897 3.99483 15.9759 0
17500 -7.98629 63.8903 3.99486 15.976 0
17600 -7.98591 63.8873 3.99477 15.9755 0
17700 -7.98599 63.8879 3.9948 15.9756 0
17800 -7.98607 63.8885 3.99483 15.9757 0
17900 -7.98615 63.8892 3.99486 15.9759 0
18000 -7.98622 63.8898 3.99489 15.976 0
18100 -7.9863 63.8904 3.99492 15.9761 0
18200 -7.98637 63.891 3.99495 15.9763 0
18300 -7.98645 63.8916 3.99497 15.9764 0
18400 -7.98652 63.8922 3.995 15.9765 0
18500 -7.98659 63.8928 3.99503 15.9766 0
18600 -7.98624 63.8899 3.99495 15.9761 0
18700 -7.98631 63.8905 3.99497 15.9763 0
18800 -7.98638 63.8911 3.995 15.9764 0
18900 -7.98646 63.8916 3.99503 15.9765 0
19000 -7.98653 63.8922 3.99505 15.9766 0
19100 -7.9866 63.8928 3.99508 15.9768 0
19200 -7.98667 63.8933 3.9951 15.9769 0
19300 -7.98674 63.8939 3.99513 15.977 0
19400 -7.9868 63.8944 3.99515 15.9771 0
19500 -7.98687 63.895 3.99518 15.9772 0
19600 -7.98694 63.8955 3.9952 15.9773 0
19700 -7.98701 63.896 3.99523 15.9775 0
19800 -7.98707 63.8966 3.99525 15.9776 0
19900 -7.98714 63.8971 3.99528 15.9777 0
20000 -7.9872 63.8976 3.9953 15.9778 0
20100 -7.98726 63.8981 3.99532 15.9779 0
20200 -7.98733 63.8986 3.99535 15.978 0
20300 -7.98739 63.8991 3.99537 15.9781 0
20400 -7.98745 63.8996 3.99539 15.9782 0
20500 -7.98751 63.9001 3.99541 15.9783 0
20600 -7.98718 63.8975 3.99524 15.9777 0
20700 -7.98725 63.898 3.99527 15.9778 0
20800 -7.98731 63.8985 3.99529 15.9779 0
20900 -7.98622 63.8898 3.99483 15.9759 0
21000 -7.98629 63.8903 3.99486 15.976 0
21100 -7.98635 63.8908 3.99488 15.9761 0
21200 -7.98642 63.8913 3.99491 15.9762 0
21300 -7.98648 63.8918 3.99493 15.9763 0
21400 -7.98654 63.8923 3.99495 15.9764 0
21500 -7.9866 63.8928 3.99498 15.9766 0
21600 -7.98667 63.8933 3.995 15.9767 0
21700 -7.98673 63.8938 3.99502 15.9768 0
21800 -7.98679 63.8943 3.99505 15.9769 0
21900 -7.98685 63.8948 3.99507 15.977 0
22000 -7.98691 63.8953 3.99509 15.9771 0
22100 -7.98697 63.8957 3.99511 15.9772 0
22200 -7.98703 63.8962 3.99514 15.9773 0
22300 -7.98709 63.8967 3.99516 15.9774 0
22400 -7.98607 63.8886 3.99473 15.9755 0
22500 -7.98613 63.8891 3.99476 15.9756 0
22600 -7.98619 63.8896 3.99478 15.9758 0
22700 -7.98626 63.89 3.9948 15.9759 0
22800 -7.98632 63.8905 3.99482 15.976 0
22900 -7.98638 63.891 3.99485 15.9761 0
23000 -7.98643 63.8915 3.99487 15.9762 0
23100 -7.98649 63.8919 3.99489 15.9763 0
23200 -7.98655 63.8924 3.99491 15.9764 0
23300 -7.98661 63.8929 3.99494 15.9765 0
23400 -7.98667 63.8933 3.99496 15.9766 0
23500 -7.98672 63.8938 3.99498 15.9767 0
23600 -7.9861 63.8888 3.99483 15.9758 0
23700 -7.98616 63.8893 3.99485 15.9759 0
23800 -7.98622 63.8897 3.99487 15.976 0
23900 -7.98628 63.8902 3.9949 15.9761 0
24000 -7.98633 63.8907 3.99492 15.9762 0
24100 -7.98639 63.8911 3.99494 15.9763 0
24200 -7.98645 63.8916 3.99496 15.9764 0
24300 -7.9865 63.892 3.99498 15.9765 0
24400 -7.98656 63.8925 3.995 15.9766 0
24500 -7.98661 63.8929 3.99502 15.9767 0
24600 -7.98667 63.8933 3.99504 15.9767 0
24700 -7.98672 63.8938 3.99506 15.9768 0
24800 -7.98677 63.8942 3.99508 15.9769 0
24900 -7.98618 63.8895 3.99486 15.9759 0
25000 -7.98624 63.8899 3.99488 15.976 0
25100 -7.98629 63.8904 3.9949 15.9761 0
25200 -7.98635 63.8908 3.99492 15.9762 0
25300 -7.9864 63.8912 3.99494 15.9763 0
25400 -7.98646 63.8917 3.99496 15.9764 0
25500 -7.98651 63.8921 3.99498 15.9765 0
25600 -7.98656 63.8925 3.995 15.9766 0
25700 -7.98661 63.8929 3.99502 15.9767 0
25800 -7.98667 63.8933 3.99504 15.9767 0
25900 -7.98672 63.8937 3.99506 15.9768 0
26000 -7.98677 63.8942 3.99508 15.9769 0
26100 -7.98682 63.8946 3.9951 15.977 0
26200 -7.98687 63.895 3.99511 15.9771 0
26300 -7.98692 63.8954 3.99513 15.9772 0
26400 -7.98697 63.8958 3.99515 15.9773 0
26500 -7.98702 63.8962 3.99517 15.9774 0
26600 -7.98707 63.8965 3.99519 15.9774 0
26700 -7.98712 63.8969 3.99521 15.9775 0
26800 -7.98657 63.8925 3.99493 15.9764 0
26900 -7.98662 63.8929 3.99494 15.9765 0
27000 -7.98667 63.8933 3.99496 15.9766 0
27100 -7.98672 63.8937 3.99498 15.9767 0
27200 -7.98676 63.8941 3.995 15.9768 0
27300 -7.98681 63.8945 3.99502 15.9768 0
27400 -7.98686 63.8949 3.99504 15.9769 0
27500 -7.98691 63.8953 3.99505 15.977 0
27600 -7.98696 63.8957 3.99507 15.9771 0
27700 -7.987 63.896 3.99509 15.9772 0
27800 -7.98705 63.8964 3.99511 15.9773 0
27900 -7.9871 63.8968 3.99513 15.9773 0
28000 -7.98714 63.8971 3.99514 15.9774 0
28100 -7.98633 63.8907 3.99495 15.9762 0
28200 -7.98638 63.8911 3.99496 15.9763 0
28300 -7.98643 63.8914 3.99498 15.9764 0
28400 -7.98563 63.8851 3.99479 15.9752 0
28500 -7.98568 63.8855 3.99481 15.9753 0
28600 -7.98573 63.8859 3.99483 15.9754 0
28700 -7.98578 63.8863 3.99484 15.9755 0
28800 -7.98583 63.8867 3.99486 15.9756 0
28900 -7.98588 63.8871 3.99488 15.9756 0
29000 -7.98593 63.8874 3.9949 15.9757 0
29100 -7.98598 63.8878 3.99491 15.9758 0
29200 -7.98575 63.886 3.99479 15.9753 0
29300 -7.9858 63.8864 3.99481 15.9754 0
29400 -7.98503 63.8803 3.99449 15.974 0
29500 -7.98508 63.8807 3.99451 15.9741 0
29600 -7.98514 63.8811 3.99453 15.9742 0
29700 -7.98519 63.8815 3.99455 15.9743 0
29800 -7.98523 63.8819 3.99456 15.9744 0
29900 -7.98528 63.8823 3.99458 15.9744 0
30000 -7.98533 63.8827 3.9946 15.9745 0
30100 -7.98538 63.8831 3.99462 15.9746 0
30200 -7.98543 63.8834 3.99464 15.9747 0
30300 -7.98548 63.8838 3.99465 15.9748 0
30400 -7.98526 63.8821 3.99454 15.9743 0
30500 -7.98531 63.8825 3.99456 15.9744 0
30600 -7.98536 63.8829 3.99458 15.9745 0
30700 -7.98541 63.8833 3.99459 15.9746 0
30800 -7.98545 63.8836 3.99461 15.9747 0
30900 -7.9855 63.884 3.99463 15.9748 0
31000 -7.98555 63.8844 3.99465 15.9748 0
31100 -7.98534 63.8827 3.9946 15.9745 0
31200 -7.98513 63.881 3.99449 15.9741 0
31300 -7.98518 63.8814 3.9945 15.9742 0
31400 -7.98446 63.8757 3.99433 15.9731 0
31500 -7.98273 63.8618 3.99371 15.9702 0
31600 -7.98278 63.8623 3.99373 15.9703 0
31700 -7.98284 63.8627 3.99375 15.9703 0
31800 -7.98289 63.8631 3.99377 15.9704 0
31900 -7.98295 63.8636 3.99379 15.9705 0
32000 -7.983 63.864 3.99381 15.9706 0
32100 -7.98305 63.8644 3.99383 15.9707 0
32200 -7.98311 63.8648 3.99385 15.9708 0
32300 -7.98316 63.8653 3.99387 15.9709 0
32400 -7.98321 63.8657 3.99389 15.971 0
32500 -7.98326 63.8661 3.99391 15.9711 0
32600 -7.98331 63.8665 3.99393 15.9712 0
32700 -7.98336 63.8669 3.99394 15.9713 0
32800 -7.98341 63.8673 3.99396 15.9713 0
32900 -7.98347 63.8677 3.99398 15.9714 0
33000 -7.98352 63.8681 3.994 15.9715 0
33100 -7.98332 63.8666 3.9939 15.9711 0
33200 -7.98337 63.867 3.99392 15.9712 0
33300 -7.98342 63.8674 3.99393 15.9713 0
33400 -7.98347 63.8678 3.99395 15.9714 0
33500 -7.98352 63.8682 3.99397 15.9715 0
33600 -7.98357 63.8686 3.99399 15.9715 0
33700 -7.98362 63.869 3.99401 15.9716 0
33800 -7.98367 63.8693 3.99402 15.9717 0
33900 -7.98372 63.8697 3.99404 15.9718 0
34000 -7.98376 63.8701 3.99406 15.9719 0
34100 -7.98381 63.8705 3.99408 15.972 0
34200 -7.98386 63.8709 3.99409 15.972 0
34300 -7.98391 63.8713 3.99411 15.9721 0
34400 -7.98395 63.8716 3.99413 15.9722 0
34500 -7.984 63.872 3.99414 15.9723 0
34600 -7.98405 63.8724 3.99416 15.9724 0
34700 -7.98409 63.8727 3.99418 15.9724 0
34800 -7.98391 63.8713 3.99414 15.9722 0
34900 -7.98395 63.8716 3.99415 15.9723 0
35000 -7.984 63.872 3.99417 15.9723 0
35100 -7.98405 63.8724 3.99419 15.9724 0
35200 -7.98409 63.8727 3.9942 15.9725 0
35300 -7.98414 63.8731 3.99422 15.9726 0
35400 -7.98418 63.8734 3.99424 15.9727 0
35500 -7.98423 63.8738 3.99425 15.9727 0
35600 -7.98427 63.8742 3.99427 15.9728 0
35700 -7.98431 63.8745 3.99429 15.9729 0
35800 -7.98436 63.8749 3.9943 15.973 0
35900 -7.98396 63.8716 3.99421 15.9724 0
36000 -7.984 63.872 3.99422 15.9724 0
36100 -7.98404 63.8724 3.99424 15.9725 0
36200 -7.98409 63.8727 3.99425 15.9726 0
36300 -7.98413 63.8731 3.99427 15.9727 0
36400 -7.98418 63.8734 3.99429 15.9727 0
36500 -7.98422 63.8738 3.9943 15.9728 0
36600 -7.98426 63.8741 3.99432 15.9729 0
36700 -7.98431 63.8744 3.99433 15.973 0
36800 -7.98435 63.8748 3.99435 15.973 0
36900 -7.98439 63.8751 3.99436 15.9731 0
37000 -7.98443 63.8755 3.99438 15.9732 0
37100 -7.98447 63.8758 3.99439 15.9733 0
37200 -7.98452 63.8761 3.99441 15.9733 0
37300 -7.98456 63.8765 3.99442 15.9734 0
37400 -7.9846 63.8768 3.99444 15.9735 0
37500 -7.98464 63.8771 3.99445 15.9735 0
37600 -7.98404 63.8723 3.9942 15.9724 0
37700 -7.98408 63.8727 3.99422 15.9725 0
37800 -7.98413 63.873 3.99423 15.9726 0
37900 -7.98417 63.8734 3.99425 15.9727 0
38000 -7.98421 63.8737 3.99426 15.9727 0
38100 -7.98425 63.874 3.99428 15.9728 0
38200 -7.98429 63.8743 3.99429 15.9729 0
38300 -7.98433 63.8747 3.99431 15.973 0
38400 -7.98438 63.875 3.99432 15.973 0
38500 -7.98421 63.8737 3.99429 15.9728 0
38600 -7.98425 63.874 3.9943 15.9728 0
38700 -7.98429 63.8743 3.99432 15.9729 0
38800 -7.98433 63.8746 3.99433 15.973 0
38900 -7.98437 63.875 3.99434 15.9731 0
39000 -7.98421 63.8736 3.99431 15.9728 0
39100 -7.98425 63.874 3.99432 15.9729 0
39200 -7.98388 63.871 3.99423 15.9723 0
39300 -7.98392 63.8713 3.99425 15.9724 0
39400 -7.98396 63.8717 3.99426 15.9725 0
39500 -7.984 63.872 3.99428 15.9726 0
39600 -7.98404 63.8723 3.99429 15.9726 0
39700 -7.98408 63.8726 3.99431 15.9727 0
39800 -7.98412 63.873 3.99432 15.9728 0
39900 -7.98416 63.8733 3.99434 15.9728 0
40000 -7.9842 63.8736 3.99435 15.9729 0
40100 -7.98424 63.8739 3.99436 15.973 0
40200 -7.98428 63.8742 3.99438 15.973 0
40300 -7.98392 63.8714 3.99429 15.9725 0
40400 -7.98396 63.8717 3.99431 15.9726 0
40500 -7.984 63.872 3.99432 15.9726 0
40600 -7.98345 63.8676 3.99409 15.9716 0
40700 -7.98349 63.8679 3.9941 15.9717 0
40800 -7.98333 63.8667 3.99402 15.9714 0
40900 -7.98337 63.867 3.99403 15.9714 0
41000 -7.98341 63.8673 3.99405 15.9715 0
41100 -7.98345 63.8676 3.99406 15.9716 0
41200 -7.9835 63.868 3.99408 15.9717 0
41300 -7.98354 63.8683 3.99409 15.9717 0
41400 -7.98357 63.8686 3.99411 15.9718 0
41500 -7.98361 63.8689 3.99412 15.9719 0
41600 -7.98365 63.8692 3.99413 15.9719 0
41700 -7.98369 63.8695 3.99415 15.972 0
41800 -7.98373 63.8699 3.99416 15.9721 0
41900 -7.98377 63.8702 3.99418 15.9721 0
42000 -7.98381 63.8705 3.99419 15.9722 0
42100 -7.98385 63.8708 3.9942 15.9723 0
42200 -7.98389 63.8711 3.99422 15.9723 0
42300 -7.98392 63.8714 3.99423 15.9724 0
42400 -7.98396 63.8717 3.99425 15.9725 0
42500 -7.984 63.872 3.99426 15.9725 0
42600 -7.98404 63.8723 3.99427 15.9726 0
42700 -7.98407 63.8726 3.99429 15.9726 0
42800 -7.98411 63.8729 3.9943 15.9727 0
42900 -7.98415 63.8732 3.99431 15.9728 0
43000 -7.98419 63.8735 3.99433 15.9728 0
43100 -7.98422 63.8738 3.99434 15.9729 0
43200 -7.98426 63.8741 3.99435 15.973 0
43300 -7.9843 63.8744 3.99436 15.973 0
43400 -7.98433 63.8747 3.99438 15.9731 0
43500 -7.98437 63.8749 3.99439 15.9731 0
43600 -7.9844 63.8752 3.9944 15.9732 0
43700 -7.98444 63.8755 3.99442 15.9733 0
43800 -7.98447 63.8758 3.99443 15.9733 0
43900 -7.98451 63.8761 3.99444 15.9734 0
44000 -7.98455 63.8764 3.99445 15.9735 0
44100 -7.98458 63.8766 3.99447 15.9735 0
44200 -7.98462 63.8769 3.99448 15.9736 0
44300 -7.98465 63.8772 3.99449 15.9736 0
44400 -7.98468 63.8775 3.9945 15.9737 0
44500 -7.98472 63.8778 3.99452 15.9738 0
44600 -7.98475 63.878 3.99453 15.9738 0
44700 -7.98479 63.8783 3.99454 15.9739 0
44800 -7.98482 63.8786 3.99455 15.9739 0
44900 -7.98486 63.8788 3.99457 15.974 0
45000 -7.98489 63.8791 3.99458 15.974 0
45100 -7.98492 63.8794 3.99459 15.9741 0
45200 -7.98496 63.8796 3.9946 15.9742 0
45300 -7.98499 63.8799 3.99461 15.9742 0
45400 -7.98502 63.8802 3.99463 15.9743 0
45500 -7.98505 63.8804 3.99464 15.9743 0
45600 -7.98509 63.8807 3.99465 15.9744 0
45700 -7.98512 63.881 3.99466 15.9744 0
45800 -7.98515 63.8812 3.99467 15.9745 0
45900 -7.98519 63.8815 3.99468 15.9746 0
46000 -7.98522 63.8817 3.9947 15.9746 0
46100 -7.98525 63.882 3.99471 15.9747 0
46200 -7.98528 63.8823 3.99472 15.9747 0
46300 -7.98479 63.8784 3.99451 15.9738 0
46400 -7.98483 63.8786 3.99453 15.9739 0
46500 -7.98486 63.8789 3.99454 15.9739 0
46600 -7.98489 63.8791 3.99455 15.974 0
46700 -7.98493 63.8794 3.99456 15.974 0
46800 -7.98496 63.8797 3.99457 15.9741 0
46900 -7.98499 63.8799 3.99458 15.9742 0
47000 -7.984 63.872 3.99417 15.9723 0
47100 -7.98386 63.8709 3.99414 15.9721 0
47200 -7.9839 63.8712 3.99415 15.9722 0
47300 -7.98393 63.8715 3.99416 15.9723 0
47400 -7.98397 63.8717 3.99418 15.9723 0
47500 -7.984 63.872 3.99419 15.9724 0
47600 -7.98403 63.8723 3.9942 15.9724 0
47700 -7.98407 63.8725 3.99421 15.9725 0
47800 -7.9841 63.8728 3.99423 15.9726 0
47900 -7.98413 63.8731 3.99424 15.9726 0
48000 -7.98417 63.8733 3.99425 15.9727 0
48100 -7.9842 63.8736 3.99426 15.9727 0
48200 -7.98423 63.8739 3.99427 15.9728 0
48300 -7.98427 63.8741 3.99429 15.9728 0
48400 -7.9838 63.8704 3.99409 15.972 0
48500 -7.98384 63.8707 3.9941 15.972 0
48600 -7.98387 63.8709 3.99412 15.9721 0
48700 -7.9839 63.8712 3.99413 15.9722 0
48800 -7.98393 63.8715 3.99414 15.9722 0
48900 -7.98397 63.8717 3.99415 15.9723 0
49000 -7.984 63.872 3.99416 15.9723 0
49100 -7.98403 63.8723 3.99418 15.9724 0
49200 -7.98407 63.8725 3.99419 15.9724 0
49300 -7.9841 63.8728 3.9942 15.9725 0
49400 -7.98413 63.873 3.99421 15.9726 0
49500 -7.98416 63.8733 3.99422 15.9726 0
49600 -7.98419 63.8735 3.99423 15.9727 0
49700 -7.98423 63.8738 3.99425 15.9727 0
49800 -7.98426 63.8741 3.99426 15.9728 0
49900 -7.98429 63.8743 3.99427 15.9728 0
50000 -7.98432 63.8746 3.99428 15.9729 0
50100 -7.98435 63.8748 3.99429 15.9729 0
50200 -7.98438 63.8751 3.9943 15.973 0
50300 -7.98441 63.8753 3.99431 15.973 0
50400 -7.98444 63.8756 3.99433 15.9731 0
50500 -7.98448 63.8758 3.99434 15.9731 0
50600 -7.98403 63.8723 3.99419 15.9724 0
50700 -7.98375 63.87 3.99408 15.9719 0
50800 -7.98378 63.8702 3.99409 15.972 0
50900 -7.98365 63.8692 3.99407 15.9718 0
51000 -7.98369 63.8695 3.99408 15.9718 0
51100 -7.98372 63.8697 3.99409 15.9719 0
51200 -7.98375 63.87 3.9941 15.972 0
51300 -7.98378 63.8703 3.99411 15.972 0
51400 -7.98381 63.8705 3.99412 15.9721 0
51500 -7.98384 63.8708 3.99414 15.9721 0
51600 -7.98388 63.871 3.99415 15.9722 0
51700 -7.98375 63.87 3.99408 15.9719 0
51800 -7.98378 63.8703 3.99409 15.972 0
51900 -7.98382 63.8705 3.9941 15.972 0
52000 -7.98385 63.8708 3.99412 15.9721 0
52100 -7.98388 63.871 3.99413 15.9721 0
52200 -7.98391 63.8713 3.99414 15.9722 0
52300 -7.98363 63.8691 3.994 15.9716 0
52400 -7.98366 63.8693 3.99401 15.9717 0
52500 -7.9837 63.8696 3.99402 15.9717 0
52600 -7.98373 63.8698 3.99403 15.9718 0
52700 -7.98345 63.8676 3.99393 15.9713 0
52800 -7.98348 63.8679 3.99394 15.9714 0
52900 -7.98352 63.8681 3.99395 15.9714 0
53000 -7.98355 63.8684 3.99396 15.9715 0
53100 -7.98343 63.8674 3.99394 15.9713 0
53200 -7.98346 63.8677 3.99395 15.9714 0
53300 -7.98304 63.8643 3.99385 15.9707 0
53400 -7.98307 63.8646 3.99386 15.9708 0
53500 -7.9831 63.8648 3.99387 15.9708 0
53600 -7.98313 63.8651 3.99388 15.9709 0
53700 -7.98317 63.8653 3.99389 15.9709 0
53800 -7.98305 63.8644 3.99387 15.9708 0
53900 -7.98308 63.8646 3.99388 15.9708 0
54000 -7.98311 63.8649 3.99389 15.9709 0
54100 -7.98314 63.8651 3.9939 15.9709 0
54200 -7.98317 63.8654 3.99391 15.971 0
54300 -7.9832 63.8656 3.99392 15.971 0
54400 -7.98324 63.8659 3.99393 15.9711 0
54500 -7.98327 63.8661 3.99394 15.9712 0
