#msc E E^2 |M| M^2 accepted
1000 -8 64 4 16 0
2000 -7.976 63.808 3.992 15.96 0
3000 -7.97867 63.8293 3.99333 15.9653 0
4000 -7.984 63.872 3.995 15.974 0
5000 -7.9872 63.8976 3.996 15.9792 0
6000 -7.98933 63.9147 3.99667 15.9827 0
7000 -7.99086 63.9269 3.99714 15.9851 0
8000 -7.991 63.928 3.99725 15.9855 0
9000 -7.98933 63.9147 3.99644 15.9822 0
10000 -7.9896 63.9168 3.9964 15.9824 0
11000 -7.98836 63.9069 3.99618 15.9807 0
12000 -7.98867 63.9093 3.99633 15.9813 0
13000 -7.98892 63.9114 3.99631 15.9815 0
14000 -7.98971 63.9177 3.99657 15.9829 0
15000 -7.98933 63.9147 3.9964 15.9821 0
16000 -7.9885 63.908 3.99625 15.981 0
17000 -7.98682 63.8946 3.99576 15.9784 0
18000 -7.98756 63.9004 3.996 15.9796 0
19000 -7.98821 63.9057 3.99621 15.9806 0
20000 -7.9876 63.9008 3.996 15.9796 0
21000 -7.98667 63.8933 3.99543 15.9775 0
22000 -7.98727 63.8982 3.99564 15.9785 0
23000 -7.98748 63.8998 3.99565 15.9788 0
24000 -7.98733 63.8987 3.99567 15.9787 0
25000 -7.98784 63.9027 3.99584 15.9795 0
26000 -7.988 63.904 3.99592 15.9798 0
27000 -7.98844 63.9076 3.99607 15.9806 0
28000 -7.98829 63.9063 3.996 15.9803 0
29000 -7.98841 63.9073 3.99607 15.9806 0
30000 -7.98693 63.8955 3.9956 15.9781 0
31000 -7.98735 63.8988 3.99574 15.9788 0
32000 -7.98725 63.898 3.99562 15.9785 0
33000 -7.98764 63.9011 3.99576 15.9792 0
34000 -7.98776 63.9021 3.99582 15.9794 0
35000 -7.98811 63.9049 3.99594 15.98 0
36000 -7.98822 63.9058 3.996 15.9802 0
37000 -7.98854 63.9083 3.99611 15.9808 0
38000 -7.98884 63.9107 3.99621 15.9813 0
39000 -7.9881 63.9048 3.99595 15.98 0
40000 -7.9876 63.9008 3.9958 15.9792 0
41000 -7.9879 63.9032 3.9959 15.9797 0
42000 -7.98686 63.8949 3.99562 15.9781 0
43000 -7.98698 63.8958 3.99567 15.9783 0
44000 -7.98673 63.8938 3.99555 15.9778 0
45000 -7.98631 63.8905 3.99542 15.9772 0
46000 -7.98643 63.8915 3.99543 15.9773 0
47000 -7.98672 63.8938 3.99553 15.9778 0
48000 -7.987 63.896 3.99562 15.9782 0
49000 -7.98727 63.8981 3.99571 15.9787 0
50000 -7.98752 63.9002 3.9958 15.9791 0
51000 -7.98776 63.9021 3.99588 15.9795 0
52000 -7.98785 63.9028 3.99592 15.9797 0
53000 -7.98792 63.9034 3.99596 15.9798 0
54000 -7.98711 63.8969 3.9957 15.9785 0
55000 -7.98691 63.8953 3.99567 15.9783 0
56000 -7.98714 63.8971 3.99575 15.9786 0
